BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Male,35-39 years,3745
Gender and Age Group,Male,40-44 years,4685
Gender and Age Group,Male,45-49 years,6290
Gender and Age Group,Male,50-54 years,8865
Gender and Age Group,Male,55-59 years,11285
Gender and Age Group,Male,60-64 years,12725
Gender and Age Group,Male,65-69 years,14495
Gender and Age Group,Male,70-74 years,20200
Gender and Age Group,Male,75-79 years,16860
Gender and Age Group,Male,80-84 years,12260
Gender and Age Group,Male,85-89 years,7440
Gender and Age Group,Male,90-94 years,2190
Gender and Age Group,Male,95 years or older,315
Gender and Age Group,Female,0 years,477324
Gender and Age Group,Female,01-04 years,883610
Gender and Age Group,Female,05-09 years,851909
Gender and Age Group,Female,10-14 years,952839
Gender and Age Group,Female,15-19 years,1102184
Gender and Age Group,Female,20-24 years,1319012
Gender and Age Group,Female,25-29 years,2231266
Gender and Age Group,Female,30-34 years,2730550
Gender and Age Group,Female,35-39 years,2309519
Gender and Age Group,Female,40-44 years,1881185
Gender and Age Group,Female,45-49 years,2188410
Gender and Age Group,Female,50-54 years,2711041
Gender and Age Group,Female,55-59 years,2758564
Gender and Age Group,Female,60-64 years,2614095
Gender and Age Group,Female,65-69 years,3126166
Gender and Age Group,Female,70-74 years,3928289
Gender and Age Group,Female,75-79 years,3384123
Gender and Age Group,Female,80-84 years,2737115
Gender and Age Group,Female,85-89 years,1617903
Gender and Age Group,Female,90-94 years,580939
Gender and Age Group,Female,95 years or older,129755
Gender and Age Group,Male,0 years,604751
Gender and Age Group,Male,01-04 years,1210053
Gender and Age Group,Male,05-09 years,1111208
Gender and Age Group,Male,10-14 years,1100148
Gender and Age Group,Male,15-19 years,757449
Gender and Age Group,Male,20-24 years,440989
Gender and Age Group,Male,25-29 years,505025
Gender and Age Group,Male,30-34 years,635734
Gender and Age Group,Male,35-39 years,713348
Gender and Age Group,Male,40-44 years,873824
Gender and Age Group,Male,45-49 years,1193015
Gender and Age Group,Male,50-54 years,1679681
Gender and Age Group,Male,55-59 years,2094525
Gender and Age Group,Male,60-64 years,2399897
Gender and Age Group,Male,65-69 years,2809065
Gender and Age Group,Male,70-74 years,3950546
Gender and Age Group,Male,75-79 years,3292735
Gender and Age Group,Male,80-84 years,2528909
Gender and Age Group,Male,85-89 years,1545414
Gender and Age Group,Male,90-94 years,460770
Gender and Age Group,Male,95 years or older,58848
Gender and Age Group,Female,0 years,4270
Gender and Age Group,Female,01-04 years,7760
Gender and Age Group,Female,05-09 years,9855
Gender and Age Group,Female,10-14 years,13365
Gender and Age Group,Female,15-19 years,17960
Gender and Age Group,Female,20-24 years,25840
Gender and Age Group,Female,25-29 years,52360
Gender and Age Group,Female,30-34 years,73390
Gender and Age Group,Female,35-39 years,62375
Gender and Age Group,Female,40-44 years,42050
Gender and Age Group,Female,45-49 years,40525
Gender and Age Group,Female,50-54 years,47530
Gender and Age Group,Female,55-59 years,48265
Gender and Age Group,Female,60-64 years,45400
Gender and Age Group,Female,65-69 years,44305
Gender and Age Group,Female,70-74 years,46940
Gender and Age Group,Female,75-79 years,40295
Gender and Age Group,Female,80-84 years,35310
Gender and Age Group,Female,85-89 years,22700
Gender and Age Group,Female,90-94 years,9735
Gender and Age Group,Female,95 years or older,2685
Gender and Age Group,Male,0 years,4950
Gender and Age Group,Male,01-04 years,10195
Gender and Age Group,Male,05-09 years,12230
Gender and Age Group,Male,10-14 years,13625
Gender and Age Group,Male,15-19 years,12145
Gender and Age Group,Male,20-24 years,10845
Gender and Age Group,Male,25-29 years,15180
Gender and Age Group,Male,30-34 years,17905
Gender and Age Group,Male,35-39 years,19715
Gender and Age Group,Male,40-44 years,22115
Gender and Age Group,Male,45-49 years,26825
Gender and Age Group,Male,50-54 years,34210
Gender and Age Group,Male,55-59 years,40145
Gender and Age Group,Male,60-64 years,39810
Gender and Age Group,Male,65-69 years,41055
Gender and Age Group,Male,70-74 years,45310
Gender and Age Group,Male,75-79 years,39425
Gender and Age Group,Male,80-84 years,32160
Gender and Age Group,Male,85-89 years,21010
Gender and Age Group,Male,90-94 years,7245
Gender and Age Group,Male,95 years or older,1625
Gender and Age Group,Female,0 years,963676
Gender and Age Group,Female,01-04 years,1249245
Gender and Age Group,Female,05-09 years,1494325
Gender and Age Group,Female,10-14 years,1796082
Gender and Age Group,Female,15-19 years,2457579
Gender and Age Group,Female,20-24 years,3304702
Gender and Age Group,Female,25-29 years,6501589
Gender and Age Group,Female,30-34 years,9070818
Gender and Age Group,Female,35-39 years,8342582
Gender and Age Group,Female,40-44 years,6516227
Gender and Age Group,Female,45-49 years,6565639
Gender and Age Group,Female,50-54 years,7640003
Gender and Age Group,Female,55-59 years,7676365
Gender and Age Group,Female,60-64 years,7175900
Gender and Age Group,Female,65-69 years,7105961
Gender and Age Group,Female,70-74 years,7369568
Gender and Age Group,Female,75-79 years,6223490
Gender and Age Group,Female,80-84 years,5412929
Gender and Age Group,Female,85-89 years,3514063
Gender and Age Group,Female,90-94 years,1500842
Gender and Age Group,Female,95 years or older,399092
Gender and Age Group,Male,0 years,1098352
Gender and Age Group,Male,01-04 years,1697526
Gender and Age Group,Male,05-09 years,2112443
Gender and Age Group,Male,10-14 years,2089897
Gender and Age Group,Male,15-19 years,1721340
Gender and Age Group,Male,20-24 years,1587059
Gender and Age Group,Male,25-29 years,2272087
Gender and Age Group,Male,30-34 years,2806332
Gender and Age Group,Male,35-39 years,3087137
Gender and Age Group,Male,40-44 years,3569855
Gender and Age Group,Male,45-49 years,4448545
Gender and Age Group,Male,50-54 years,5591163
Gender and Age Group,Male,55-59 years,6595348
Gender and Age Group,Male,60-64 years,6391109
Gender and Age Group,Male,65-69 years,6653918
Gender and Age Group,Male,70-74 years,7004585
Gender and Age Group,Male,75-79 years,6098555
Gender and Age Group,Male,80-84 years,4831246
Gender and Age Group,Male,85-89 years,3074312
Gender and Age Group,Male,90-94 years,1123325
Gender and Age Group,Male,95 years or older,260305
Gender and Age Group,Female,0 years,585
Gender and Age Group,Female,01-04 years,1105
Gender and Age Group,Female,05-09 years,1695
Gender and Age Group,Female,10-14 years,5165
Gender and Age Group,Female,15-19 years,4545
Gender and Age Group,Female,20-24 years,2930
Gender and Age Group,Female,25-29 years,2940
Gender and Age Group,Female,30-34 years,2895
Gender and Age Group,Female,35-39 years,3460
Gender and Age Group,Female,40-44 years,3400
Gender and Age Group,Female,45-49 years,3975
Gender and Age Group,Female,50-54 years,4950
Gender and Age Group,Female,55-59 years,5800
Gender and Age Group,Female,60-64 years,4995
Gender and Age Group,Female,65-69 years,5220
Gender and Age Group,Female,70-74 years,5190
Gender and Age Group,Female,75-79 years,4080
Gender and Age Group,Female,80-84 years,2405
Gender and Age Group,Female,85-89 years,1120
Gender and Age Group,Female,90-94 years,250
Gender and Age Group,Female,95 years or older,25
Gender and Age Group,Male,0 years,505
Gender and Age Group,Male,01-04 years,1000
Gender and Age Group,Male,05-09 years,1875
Gender and Age Group,Male,10-14 years,3555
Gender and Age Group,Male,15-19 years,3450
Gender and Age Group,Male,20-24 years,2210
Gender and Age Group,Male,25-29 years,2335
Gender and Age Group,Male,30-34 years,2470
Gender and Age Group,Male,35-39 years,2735
Gender and Age Group,Male,40-44 years,2805
Gender and Age Group,Male,45-49 years,3370
Gender and Age Group,Male,50-54 years,3890
Gender and Age Group,Male,55-59 years,4085
Gender and Age Group,Male,60-64 years,3800
Gender and Age Group,Male,65-69 years,3275
Gender and Age Group,Male,70-74 years,3420
Gender and Age Group,Male,75-79 years,2265
Gender and Age Group,Male,80-84 years,1375
Gender and Age Group,Male,85-89 years,590
Gender and Age Group,Male,90-94 years,110
Gender and Age Group,Male,95 years or older,10
Gender and Age Group,Female,0 years,87356
Gender and Age Group,Female,01-04 years,198284
Gender and Age Group,Female,05-09 years,306202
Gender and Age Group,Female,10-14 years,901402
Gender and Age Group,Female,15-19 years,940492
Gender and Age Group,Female,20-24 years,616274
Gender and Age Group,Female,25-29 years,591348
Gender and Age Group,Female,30-34 years,587772
Gender and Age Group,Female,35-39 years,681244
Gender and Age Group,Female,40-44 years,744280
Gender and Age Group,Female,45-49 years,808954
Gender and Age Group,Female,50-54 years,1008861
Gender and Age Group,Female,55-59 years,1190533
Gender and Age Group,Female,60-64 years,1012106
Gender and Age Group,Female,65-69 years,1144673
Gender and Age Group,Female,70-74 years,1114795
Gender and Age Group,Female,75-79 years,866043
Gender and Age Group,Female,80-84 years,501556
Gender and Age Group,Female,85-89 years,231860
Gender and Age Group,Female,90-94 years,50396
Gender and Age Group,Female,95 years or older,5117
Gender and Age Group,Male,0 years,70211
Gender and Age Group,Male,01-04 years,174421
Gender and Age Group,Male,05-09 years,403633
Gender and Age Group,Male,10-14 years,622822
Gender and Age Group,Male,15-19 years,685265
Gender and Age Group,Male,20-24 years,463993
Gender and Age Group,Male,25-29 years,434451
Gender and Age Group,Male,30-34 years,482612
Gender and Age Group,Male,35-39 years,553185
Gender and Age Group,Male,40-44 years,520989
Gender and Age Group,Male,45-49 years,644563
Gender and Age Group,Male,50-54 years,843764
Gender and Age Group,Male,55-59 years,827606
Gender and Age Group,Male,60-64 years,774311
Gender and Age Group,Male,65-69 years,676163
Gender and Age Group,Male,70-74 years,647871
Gender and Age Group,Male,75-79 years,479813
Gender and Age Group,Male,80-84 years,286865
Gender and Age Group,Male,85-89 years,123169
Gender and Age Group,Male,90-94 years,23615
Gender and Age Group,Male,95 years or older,1513
Gender and Age Group,Female,0 years,1490
Gender and Age Group,Female,01-04 years,2510
Gender and Age Group,Female,05-09 years,2845
Gender and Age Group,Female,10-14 years,2905
Gender and Age Group,Female,15-19 years,5085
Gender and Age Group,Female,20-24 years,10995
Gender and Age Group,Female,25-29 years,19965
Gender and Age Group,Female,30-34 years,24035
Gender and Age Group,Female,35-39 years,19495
Gender and Age Group,Female,40-44 years,14525
Gender and Age Group,Female,45-49 years,13940
Gender and Age Group,Female,50-54 years,14950
Gender and Age Group,Female,55-59 years,15380
Gender and Age Group,Female,60-64 years,13140
Gender and Age Group,Female,65-69 years,11325
Gender and Age Group,Female,70-74 years,11535
Gender and Age Group,Female,75-79 years,10140
Gender and Age Group,Female,80-84 years,9230
Gender and Age Group,Female,85-89 years,5330
Gender and Age Group,Female,90-94 years,1685
Gender and Age Group,Female,95 years or older,385
Gender and Age Group,Male,0 years,1630
Gender and Age Group,Male,01-04 years,3045
Gender and Age Group,Male,05-09 years,3160
Gender and Age Group,Male,10-14 years,3550
Gender and Age Group,Male,15-19 years,3425
Gender and Age Group,Male,20-24 years,3370
Gender and Age Group,Male,25-29 years,4275
Gender and Age Group,Male,30-34 years,5555
Gender and Age Group,Male,35-39 years,6300
Gender and Age Group,Male,40-44 years,6405
Gender and Age Group,Male,45-49 years,8000
Gender and Age Group,Male,50-54 years,10700
Gender and Age Group,Male,55-59 years,13305
Gender and Age Group,Male,60-64 years,12820
Gender and Age Group,Male,65-69 years,11530
Gender and Age Group,Male,70-74 years,11570
Gender and Age Group,Male,75-79 years,10325
Gender and Age Group,Male,80-84 years,9200
Gender and Age Group,Male,85-89 years,4845
Gender and Age Group,Male,90-94 years,1320
Gender and Age Group,Male,95 years or older,215
Gender and Age Group,Female,0 years,282096
Gender and Age Group,Female,01-04 years,454333
Gender and Age Group,Female,05-09 years,471558
Gender and Age Group,Female,10-14 years,452135
Gender and Age Group,Female,15-19 years,695263
Gender and Age Group,Female,20-24 years,1325017
Gender and Age Group,Female,25-29 years,2394748
Gender and Age Group,Female,30-34 years,2859770
Gender and Age Group,Female,35-39 years,2427348
Gender and Age Group,Female,40-44 years,1975891
Gender and Age Group,Female,45-49 years,2028745
Gender and Age Group,Female,50-54 years,2179091
Gender and Age Group,Female,55-59 years,2193451
Gender and Age Group,Female,60-64 years,1863629
Gender and Age Group,Female,65-69 years,1572035
Gender and Age Group,Female,70-74 years,1631139
Gender and Age Group,Female,75-79 years,1374229
Gender and Age Group,Female,80-84 years,1246380
Gender and Age Group,Female,85-89 years,707656
Gender and Age Group,Female,90-94 years,200387
Gender and Age Group,Female,95 years or older,43136
Gender and Age Group,Male,0 years,319169
Gender and Age Group,Male,01-04 years,583053
Gender and Age Group,Male,05-09 years,534872
Gender and Age Group,Male,10-14 years,559704
Gender and Age Group,Male,15-19 years,530382
Gender and Age Group,Male,20-24 years,444420
Gender and Age Group,Male,25-29 years,584668
Gender and Age Group,Male,30-34 years,781229
Gender and Age Group,Male,35-39 years,895935
Gender and Age Group,Male,40-44 years,923008
Gender and Age Group,Male,45-49 years,1129672
Gender and Age Group,Male,50-54 years,1516651
Gender and Age Group,Male,55-59 years,1908478
Gender and Age Group,Male,60-64 years,1822666
Gender and Age Group,Male,65-69 years,1658441
Gender and Age Group,Male,70-74 years,1681855
Gender and Age Group,Male,75-79 years,1506203
Gender and Age Group,Male,80-84 years,1304719
Gender and Age Group,Male,85-89 years,687810
Gender and Age Group,Male,90-94 years,184764
Gender and Age Group,Male,95 years or older,28543
Gender and Age Group,Female,0 years,2090
Gender and Age Group,Female,01-04 years,3835
Gender and Age Group,Female,05-09 years,4865
Gender and Age Group,Female,10-14 years,3720
Gender and Age Group,Female,15-19 years,5345
Gender and Age Group,Female,20-24 years,12895
Gender and Age Group,Female,25-29 years,27120
Gender and Age Group,Female,30-34 years,33635
Gender and Age Group,Female,35-39 years,24685
Gender and Age Group,Female,40-44 years,14010
Gender and Age Group,Female,45-49 years,10935
Gender and Age Group,Female,50-54 years,12450
Gender and Age Group,Female,55-59 years,13435
Gender and Age Group,Female,60-64 years,11770
Gender and Age Group,Female,65-69 years,11380
Gender and Age Group,Female,70-74 years,12935
Gender and Age Group,Female,75-79 years,11745
Gender and Age Group,Female,80-84 years,11060
Gender and Age Group,Female,85-89 years,7415
Gender and Age Group,Female,90-94 years,2735
Gender and Age Group,Female,95 years or older,695
Gender and Age Group,Male,0 years,2585
Gender and Age Group,Male,01-04 years,4795
Gender and Age Group,Male,05-09 years,5925
Gender and Age Group,Male,10-14 years,4850
Gender and Age Group,Male,15-19 years,4070
Gender and Age Group,Male,20-24 years,3245
Gender and Age Group,Male,25-29 years,3790
Gender and Age Group,Male,30-34 years,4835
Gender and Age Group,Male,35-39 years,5790
Gender and Age Group,Male,40-44 years,6340
Gender and Age Group,Male,45-49 years,6790
Gender and Age Group,Male,50-54 years,8780
Gender and Age Group,Male,55-59 years,9730
Gender and Age Group,Male,60-64 years,11005
Gender and Age Group,Male,65-69 years,10555
Gender and Age Group,Male,70-74 years,11140
Gender and Age Group,Male,75-79 years,10075
Gender and Age Group,Male,80-84 years,8360
Gender and Age Group,Male,85-89 years,5525
Gender and Age Group,Male,90-94 years,1975
Gender and Age Group,Male,95 years or older,330
Gender and Age Group,Female,0 years,437659
Gender and Age Group,Female,01-04 years,864669
Gender and Age Group,Female,05-09 years,985332
Gender and Age Group,Female,10-14 years,810719
Gender and Age Group,Female,15-19 years,869424
Gender and Age Group,Female,20-24 years,1452758
Gender and Age Group,Female,25-29 years,2820262
Gender and Age Group,Female,30-34 years,3686048
Gender and Age Group,Female,35-39 years,3197881
Gender and Age Group,Female,40-44 years,2271683
Gender and Age Group,Female,45-49 years,2027405
Gender and Age Group,Female,50-54 years,2285003
Gender and Age Group,Female,55-59 years,2466012
Gender and Age Group,Female,60-64 years,2176540
Gender and Age Group,Female,65-69 years,2035134
Gender and Age Group,Female,70-74 years,2386993
Gender and Age Group,Female,75-79 years,2267908
Gender and Age Group,Female,80-84 years,2169608
Gender and Age Group,Female,85-89 years,1440322
Gender and Age Group,Female,90-94 years,536427
Gender and Age Group,Female,95 years or older,119560
Gender and Age Group,Male,0 years,572095
Gender and Age Group,Male,01-04 years,1028562
Gender and Age Group,Male,05-09 years,1109686
Gender and Age Group,Male,10-14 years,991897
Gender and Age Group,Male,15-19 years,697715
Gender and Age Group,Male,20-24 years,497959
Gender and Age Group,Male,25-29 years,582644
Gender and Age Group,Male,30-34 years,766774
Gender and Age Group,Male,35-39 years,969193
Gender and Age Group,Male,40-44 years,1054787
Gender and Age Group,Male,45-49 years,1169016
Gender and Age Group,Male,50-54 years,1496085
Gender and Age Group,Male,55-59 years,1695671
Gender and Age Group,Male,60-64 years,1952530
Gender and Age Group,Male,65-69 years,2076761
Gender and Age Group,Male,70-74 years,2106455
Gender and Age Group,Male,75-79 years,1981043
Gender and Age Group,Male,80-84 years,1714070
Gender and Age Group,Male,85-89 years,1132666
Gender and Age Group,Male,90-94 years,396055
Gender and Age Group,Male,95 years or older,55597
Gender and Age Group,Female,0 years,2715
Gender and Age Group,Female,01-04 years,4880
Gender and Age Group,Female,05-09 years,6480
Gender and Age Group,Female,10-14 years,6875
Gender and Age Group,Female,15-19 years,6615
Gender and Age Group,Female,20-24 years,8390
Gender and Age Group,Female,25-29 years,16020
Gender and Age Group,Female,30-34 years,26605
Gender and Age Group,Female,35-39 years,27150
Gender and Age Group,Female,40-44 years,17500
Gender and Age Group,Female,45-49 years,14485
Gender and Age Group,Female,50-54 years,15525
Gender and Age Group,Female,55-59 years,16275
Gender and Age Group,Female,60-64 years,14255
Gender and Age Group,Female,65-69 years,15160
Gender and Age Group,Female,70-74 years,16895
Gender and Age Group,Female,75-79 years,13895
Gender and Age Group,Female,80-84 years,11180
Gender and Age Group,Female,85-89 years,7720
Gender and Age Group,Female,90-94 years,3270
Gender and Age Group,Female,95 years or older,1030
Gender and Age Group,Male,0 years,2875
Gender and Age Group,Male,01-04 years,5800
Gender and Age Group,Male,05-09 years,6830
Gender and Age Group,Male,10-14 years,6570
Gender and Age Group,Male,15-19 years,5200
Gender and Age Group,Male,20-24 years,3985
Gender and Age Group,Male,25-29 years,4975
Gender and Age Group,Male,30-34 years,5500
Gender and Age Group,Male,35-39 years,6105
Gender and Age Group,Male,40-44 years,7260
Gender and Age Group,Male,45-49 years,8440
Gender and Age Group,Male,50-54 years,9610
Gender and Age Group,Male,55-59 years,10990
Gender and Age Group,Male,60-64 years,11060
Gender and Age Group,Male,65-69 years,12290
Gender and Age Group,Male,70-74 years,14600
Gender and Age Group,Male,75-79 years,12460
Gender and Age Group,Male,80-84 years,9955
Gender and Age Group,Male,85-89 years,5825
Gender and Age Group,Male,90-94 years,2260
Gender and Age Group,Male,95 years or older,440
Gender and Age Group,Female,0 years,428844
Gender and Age Group,Female,01-04 years,711188
Gender and Age Group,Female,05-09 years,916650
Gender and Age Group,Female,10-14 years,1091536
Gender and Age Group,Female,15-19 years,984529
Gender and Age Group,Female,20-24 years,1075389
Gender and Age Group,Female,25-29 years,2099811
Gender and Age Group,Female,30-34 years,3508714
Gender and Age Group,Female,35-39 years,3550494
Gender and Age Group,Female,40-44 years,2436113
Gender and Age Group,Female,45-49 years,2062156
Gender and Age Group,Female,50-54 years,2156855
Gender and Age Group,Female,55-59 years,2185914
Gender and Age Group,Female,60-64 years,1927582
Gender and Age Group,Female,65-69 years,2048162
Gender and Age Group,Female,70-74 years,2281238
Gender and Age Group,Female,75-79 years,1889593
Gender and Age Group,Female,80-84 years,1543361
Gender and Age Group,Female,85-89 years,1049146
Gender and Age Group,Female,90-94 years,455692
Gender and Age Group,Female,95 years or older,150738
Gender and Age Group,Male,0 years,448995
Gender and Age Group,Male,01-04 years,825241
Gender and Age Group,Male,05-09 years,962132
Gender and Age Group,Male,10-14 years,1022977
Gender and Age Group,Male,15-19 years,762000
Gender and Age Group,Male,20-24 years,482084
Gender and Age Group,Male,25-29 years,592282
Gender and Age Group,Male,30-34 years,649340
Gender and Age Group,Male,35-39 years,731404
Gender and Age Group,Male,40-44 years,852526
Gender and Age Group,Male,45-49 years,998434
Gender and Age Group,Male,50-54 years,1178597
Gender and Age Group,Male,55-59 years,1315367
Gender and Age Group,Male,60-64 years,1367483
Gender and Age Group,Male,65-69 years,1523948
Gender and Age Group,Male,70-74 years,1793880
Gender and Age Group,Male,75-79 years,1558295
Gender and Age Group,Male,80-84 years,1256967
Gender and Age Group,Male,85-89 years,723968
Gender and Age Group,Male,90-94 years,287994
Gender and Age Group,Male,95 years or older,57353
Gender and Age Group,Female,0 years,1240
Gender and Age Group,Female,01-04 years,3995
Gender and Age Group,Female,05-09 years,5380
Gender and Age Group,Female,10-14 years,6990
Gender and Age Group,Female,15-19 years,7310
Gender and Age Group,Female,20-24 years,5725
Gender and Age Group,Female,25-29 years,8975
Gender and Age Group,Female,30-34 years,9915
Gender and Age Group,Female,35-39 years,9685
Gender and Age Group,Female,40-44 years,8925
Gender and Age Group,Female,45-49 years,11445
Gender and Age Group,Female,50-54 years,14555
Gender and Age Group,Female,55-59 years,16090
Gender and Age Group,Female,60-64 years,15780
Gender and Age Group,Female,65-69 years,18095
Gender and Age Group,Female,70-74 years,21565
Gender and Age Group,Female,75-79 years,18410
Gender and Age Group,Female,80-84 years,14470
Gender and Age Group,Female,85-89 years,9240
Gender and Age Group,Female,90-94 years,3910
Gender and Age Group,Female,95 years or older,1055
Gender and Age Group,Male,0 years,1635
Gender and Age Group,Male,01-04 years,5100
Gender and Age Group,Male,05-09 years,6780
Gender and Age Group,Male,10-14 years,6715
Gender and Age Group,Male,15-19 years,6430
Gender and Age Group,Male,20-24 years,3155
Gender and Age Group,Male,25-29 years,3610
Gender and Age Group,Male,30-34 years,4210
Gender and Age Group,Male,35-39 years,4300
Gender and Age Group,Male,40-44 years,4920
Gender and Age Group,Male,45-49 years,6770
Gender and Age Group,Male,50-54 years,9810
Gender and Age Group,Male,55-59 years,12555
Gender and Age Group,Male,60-64 years,14820
Gender and Age Group,Male,65-69 years,17855
Gender and Age Group,Male,70-74 years,23315
Gender and Age Group,Male,75-79 years,19980
Gender and Age Group,Male,80-84 years,15725
Gender and Age Group,Male,85-89 years,9130
Gender and Age Group,Male,90-94 years,3090
Gender and Age Group,Male,95 years or older,480
Gender and Age Group,Female,0 years,283692
Gender and Age Group,Female,01-04 years,788818
Gender and Age Group,Female,05-09 years,995174
Gender and Age Group,Female,10-14 years,1261782
Gender and Age Group,Female,15-19 years,1231151
Gender and Age Group,Female,20-24 years,1098820
Gender and Age Group,Female,25-29 years,1878105
Gender and Age Group,Female,30-34 years,1981125
Gender and Age Group,Female,35-39 years,1781442
Gender and Age Group,Female,40-44 years,1517388
Gender and Age Group,Female,45-49 years,1845482
Gender and Age Group,Female,50-54 years,2259565
Gender and Age Group,Female,55-59 years,2437317
Gender and Age Group,Female,60-64 years,2345580
Gender and Age Group,Female,65-69 years,2676639
Gender and Age Group,Female,70-74 years,3228429
Gender and Age Group,Female,75-79 years,2699095
Gender and Age Group,Female,80-84 years,2102665
Gender and Age Group,Female,85-89 years,1314808
Gender and Age Group,Female,90-94 years,553768
Gender and Age Group,Female,95 years or older,140922
Gender and Age Group,Male,0 years,393257
Gender and Age Group,Male,01-04 years,997952
Gender and Age Group,Male,05-09 years,1299273
Gender and Age Group,Male,10-14 years,1244210
Gender and Age Group,Male,15-19 years,1103709
Gender and Age Group,Male,20-24 years,466420
Gender and Age Group,Male,25-29 years,527416
Gender and Age Group,Male,30-34 years,613381
Gender and Age Group,Male,35-39 years,608447
Gender and Age Group,Male,40-44 years,685825
Gender and Age Group,Male,45-49 years,1016925
Gender and Age Group,Male,50-54 years,1396757
Gender and Age Group,Male,55-59 years,1756115
Gender and Age Group,Male,60-64 years,2067591
Gender and Age Group,Male,65-69 years,2483457
Gender and Age Group,Male,70-74 years,3207084
Gender and Age Group,Male,75-79 years,2801002
Gender and Age Group,Male,80-84 years,2202015
Gender and Age Group,Male,85-89 years,1257682
Gender and Age Group,Male,90-94 years,414866
Gender and Age Group,Male,95 years or older,61200
Gender and Age Group,Female,0 years,420
Gender and Age Group,Female,01-04 years,1970
Gender and Age Group,Female,05-09 years,2765
Gender and Age Group,Female,10-14 years,5865
Gender and Age Group,Female,15-19 years,4890
Gender and Age Group,Female,20-24 years,4035
Gender and Age Group,Female,25-29 years,6645
Gender and Age Group,Female,30-34 years,7120
Gender and Age Group,Female,35-39 years,5475
Gender and Age Group,Female,40-44 years,4265
Gender and Age Group,Female,45-49 years,5575
Gender and Age Group,Female,50-54 years,7525
Gender and Age Group,Female,55-59 years,8970
Gender and Age Group,Female,60-64 years,9145
Gender and Age Group,Female,65-69 years,11120
Gender and Age Group,Female,70-74 years,12830
Gender and Age Group,Female,75-79 years,10760
Gender and Age Group,Female,80-84 years,8040
Gender and Age Group,Female,85-89 years,4995
Gender and Age Group,Female,90-94 years,1875
Gender and Age Group,Female,95 years or older,420
Gender and Age Group,Male,0 years,460
Gender and Age Group,Male,01-04 years,2420
Gender and Age Group,Male,05-09 years,3785
Gender and Age Group,Male,10-14 years,6025
Gender and Age Group,Male,15-19 years,4540
Gender and Age Group,Male,20-24 years,1820
Gender and Age Group,Male,25-29 years,1755
Gender and Age Group,Male,30-34 years,1955
Gender and Age Group,Male,35-39 years,2025
Gender and Age Group,Male,40-44 years,2520
Gender and Age Group,Male,45-49 years,3590
Gender and Age Group,Male,50-54 years,5190
Gender and Age Group,Male,55-59 years,6900
Gender and Age Group,Male,60-64 years,8150
Gender and Age Group,Male,65-69 years,10245
Gender and Age Group,Male,70-74 years,12765
Gender and Age Group,Male,75-79 years,11320
Gender and Age Group,Male,80-84 years,8690
Gender and Age Group,Male,85-89 years,4895
Gender and Age Group,Male,90-94 years,1530
Gender and Age Group,Male,95 years or older,310
Gender and Age Group,Female,0 years,99526
Gender and Age Group,Female,01-04 years,321414
Gender and Age Group,Female,05-09 years,481237
Gender and Age Group,Female,10-14 years,942832
Gender and Age Group,Female,15-19 years,723926
Gender and Age Group,Female,20-24 years,716713
Gender and Age Group,Female,25-29 years,1212347
Gender and Age Group,Female,30-34 years,1264474
Gender and Age Group,Female,35-39 years,943383
Gender and Age Group,Female,40-44 years,723568
Gender and Age Group,Female,45-49 years,890867
Gender and Age Group,Female,50-54 years,1160628
Gender and Age Group,Female,55-59 years,1376285
Gender and Age Group,Female,60-64 years,1400608
Gender and Age Group,Female,65-69 years,1703695
Gender and Age Group,Female,70-74 years,1959631
Gender and Age Group,Female,75-79 years,1643746
Gender and Age Group,Female,80-84 years,1262689
Gender and Age Group,Female,85-89 years,765539
Gender and Age Group,Female,90-94 years,273715
Gender and Age Group,Female,95 years or older,56473
Gender and Age Group,Male,0 years,112164
Gender and Age Group,Male,01-04 years,423183
Gender and Age Group,Male,05-09 years,773303
Gender and Age Group,Male,10-14 years,1110617
Gender and Age Group,Male,15-19 years,682187
Gender and Age Group,Male,20-24 years,270269
Gender and Age Group,Male,25-29 years,263575
Gender and Age Group,Male,30-34 years,291937
Gender and Age Group,Male,35-39 years,315531
Gender and Age Group,Male,40-44 years,391503
Gender and Age Group,Male,45-49 years,540703
Gender and Age Group,Male,50-54 years,786400
Gender and Age Group,Male,55-59 years,1056984
Gender and Age Group,Male,60-64 years,1257280
Gender and Age Group,Male,65-69 years,1576431
Gender and Age Group,Male,70-74 years,1975394
Gender and Age Group,Male,75-79 years,1725473
Gender and Age Group,Male,80-84 years,1347814
Gender and Age Group,Male,85-89 years,732046
Gender and Age Group,Male,90-94 years,223603
Gender and Age Group,Male,95 years or older,42508
Gender and Age Group,Female,0 years,3060
Gender and Age Group,Female,01-04 years,4170
Gender and Age Group,Female,05-09 years,4705
Gender and Age Group,Female,10-14 years,4120
Gender and Age Group,Female,15-19 years,6280
Gender and Age Group,Female,20-24 years,10460
Gender and Age Group,Female,25-29 years,15455
Gender and Age Group,Female,30-34 years,15015
Gender and Age Group,Female,35-39 years,11710
Gender and Age Group,Female,40-44 years,8380
Gender and Age Group,Female,45-49 years,10160
Gender and Age Group,Female,50-54 years,11080
Gender and Age Group,Female,55-59 years,11305
Gender and Age Group,Female,60-64 years,10265
Gender and Age Group,Female,65-69 years,10065
Gender and Age Group,Female,70-74 years,10950
