BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Female,80-84 years,55015
Gender and Age Group,Female,85-89 years,49850
Gender and Age Group,Female,90-94 years,31485
Gender and Age Group,Female,95 years or older,11950
Gender and Age Group,Female,Unknown,140
Gender and Age Group,Male,0 years,33225
Gender and Age Group,Male,01-04 years,86025
Gender and Age Group,Male,05-09 years,54335
Gender and Age Group,Male,10-14 years,58765
Gender and Age Group,Male,15-19 years,55695
Gender and Age Group,Male,20-24 years,62820
Gender and Age Group,Male,25-29 years,61240
Gender and Age Group,Male,30-34 years,59500
Gender and Age Group,Male,35-39 years,55230
Gender and Age Group,Male,40-44 years,49600
Gender and Age Group,Male,45-49 years,53370
Gender and Age Group,Male,50-54 years,56600
Gender and Age Group,Male,55-59 years,54815
Gender and Age Group,Male,60-64 years,48730
Gender and Age Group,Male,65-69 years,45930
Gender and Age Group,Male,70-74 years,53870
Gender and Age Group,Male,75-79 years,49540
Gender and Age Group,Male,80-84 years,47700
Gender and Age Group,Male,85-89 years,37660
Gender and Age Group,Male,90-94 years,18950
Gender and Age Group,Male,95 years or older,5465
Gender and Age Group,Male,Unknown,135
Gender and Age Group,Female,0 years,3548996
Gender and Age Group,Female,01-04 years,9270438
Gender and Age Group,Female,05-09 years,6510793
Gender and Age Group,Female,10-14 years,7400008
Gender and Age Group,Female,15-19 years,10849695
Gender and Age Group,Female,20-24 years,12474395
Gender and Age Group,Female,25-29 years,12212924
Gender and Age Group,Female,30-34 years,11633336
Gender and Age Group,Female,35-39 years,10497707
Gender and Age Group,Female,40-44 years,9289688
Gender and Age Group,Female,45-49 years,10280762
Gender and Age Group,Female,50-54 years,11372272
Gender and Age Group,Female,55-59 years,11143256
Gender and Age Group,Female,60-64 years,10085497
Gender and Age Group,Female,65-69 years,10087376
Gender and Age Group,Female,70-74 years,13235563
Gender and Age Group,Female,75-79 years,13780008
Gender and Age Group,Female,80-84 years,15514223
Gender and Age Group,Female,85-89 years,15169771
Gender and Age Group,Female,90-94 years,10004463
Gender and Age Group,Female,95 years or older,3935821
Gender and Age Group,Female,Unknown,20500
