code,description,sex,diagnosis_count,category
O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,Male,25,"Pregnancy, childbirth and the puerperium (O00–O99)"
O60-O75,Complications of labour and delivery,Male,1,"Pregnancy, childbirth and the puerperium (O00–O99)"
O80-O84,Delivery,Male,0,"Pregnancy, childbirth and the puerperium (O00–O99)"
O85-O92,Complications predominantly related to the puerperium,Male,3,"Pregnancy, childbirth and the puerperium (O00–O99)"
O94-O99,"Other obstetric conditions, not elsewhere classified",Male,11,"Pregnancy, childbirth and the puerperium (O00–O99)"
P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Male,87,Certain conditions originating in the perinatal period (P00–P96)
P05-P08,Disorders related to length of gestation and fetal growth,Male,32933,Certain conditions originating in the perinatal period (P00–P96)
P10-P15,Birth trauma,Male,4672,Certain conditions originating in the perinatal period (P00–P96)
P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,Male,42915,Certain conditions originating in the perinatal period (P00–P96)
P35-P39,Infections specific to the perinatal period,Male,10390,Certain conditions originating in the perinatal period (P00–P96)
P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,Male,31926,Certain conditions originating in the perinatal period (P00–P96)
P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,Male,4911,Certain conditions originating in the perinatal period (P00–P96)
P75-P78,Digestive system disorders of fetus and newborn,Male,2590,Certain conditions originating in the perinatal period (P00–P96)
P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,Male,6783,Certain conditions originating in the perinatal period (P00–P96)
P90-P96,Other disorders originating in the perinatal period,Male,12175,Certain conditions originating in the perinatal period (P00–P96)
Q00-Q07,Congenital malformations of the nervous system,Male,2147,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q10-Q18,"Congenital malformations of eye, ear, face and neck",Male,4665,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q20-Q28,Congenital malformations of the circulatory system,Male,13242,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q30-Q34,Congenital malformations of the respiratory system,Male,1865,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q35-Q37,Cleft lip and cleft palate,Male,1466,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q38-Q45,Other congenital malformations of the digestive system,Male,7927,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q50-Q56,Congenital malformations of genital organs,Male,13272,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q60-Q64,Congenital malformations of the urinary system,Male,3473,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Male,8222,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q80-Q89,Other congenital malformations,Male,3875,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Male,894,"Congenital malformations, deformations and chromosomal abnormalities (Q00–Q99)"
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,Male,230129,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R10-R19,Symptoms & signs inv. the digestive system & abdomen,Male,197018,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R20-R23,Symptoms & signs inv. the skin & subcutaneous tissue,Male,20316,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,Male,85475,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R30-R39,Symptoms & signs involving the urinary system,Male,75347,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R40-R46,Symptoms & signs inv. Cognition perception etc.,Male,43846,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R47-R49,Symptoms & signs inv. speech & voice,Male,4645,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R50-R69,General symptoms & signs,Male,318562,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R70-R79,"Abnormal findings on examination of blood, without diagnosis",Male,24007,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R80-R82,"Abnormal findings on examination of urine, without diagnosis",Male,743,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",Male,707,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R90-R94,Abnormal findings on diagnostic imaging/function studies,Male,28206,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
R95-R99,Ill-defined & unknown causes of mortality,Male,3,"Symptoms, signs and abnormal clinical and laboratory findings (R00–R99)"
S00-S09,Injuries to the head,Male,101598,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S10-S19,Injuries to the neck,Male,7997,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S20-S29,Injuries to the thorax,Male,30474,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S30-S39,"Injuries to abdomen, lower back, lumbar spine & pelvis",Male,27420,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S40-S49,Injuries to the shoulder & upper arm,Male,27739,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S50-S59,Injuries to the elbow & forearm,Male,29079,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S60-S69,Injuries to the wrist & hand,Male,58201,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S70-S79,Injuries to the hip & thigh,Male,48884,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S80-S89,Injuries to the knee & lower leg,Male,44904,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
S90-S99,Injuries to the ankle & foot,Male,9495,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T00-T07,Injuries involving multiple body regions,Male,2370,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T08-T14,Injuries to unspecified part of trunk limb or body,Male,614,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T15-T19,Effects of foreign body entering through natural orifice,Male,11314,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T20-T32,Burns and corrosions,Male,7168,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T33-T35,Frostbite,Male,45,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T36-T50,Poisonings by drugs medicaments & biological substances,Male,38044,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T51-T65,Tox. effcts. of substnces. chiefly non-medicinal as to source,Male,3601,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T66-T78,Other and unspecified effects of external causes,Male,10502,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T79-T79,Certain early complications of trauma,Male,4463,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T80-T88,Complications of surgical & medical care nec.,Male,164045,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
T90-T98,Sequelae of injuries of poisoning & other consequences,Male,2,"Injury, poisoning and certain other consequences of external causes (S00–T98)"
U00-U49,Provisional assignment of new diseases of uncertain etiology,Male,52819,Codes for special purposes (U00–U85)
U82-U85,Resistance to antimicrobial and antineoplastic drugs,Male,0,Codes for special purposes (U00–U85)
Z00-Z13,Examination and investigation,Male,128717,Factors influencing health status and contact with health services (Z00–Z99)
Z20-Z29,Potential health hazards related to communicable diseases,Male,8254,Factors influencing health status and contact with health services (Z00–Z99)
Z30-Z39,Health services in circumstances related to reproduction,Male,184215,Factors influencing health status and contact with health services (Z00–Z99)
Z40-Z54,Persons encountering health services for specific care,Male,59131,Factors influencing health status and contact with health services (Z00–Z99)
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,Male,529,Factors influencing health status and contact with health services (Z00–Z99)
Z70-Z76,Persons encountering health services in other circs.,Male,9135,Factors influencing health status and contact with health services (Z00–Z99)
Z80-Z99,Persons with potential health hazards related to family,Male,6151,Factors influencing health status and contact with health services (Z00–Z99)
A00-A09,Intestinal infectious diseases,Female,114810,Certain infectious and parasitic diseases (A00–B99)
A15-A19,Tuberculosis,Female,2186,Certain infectious and parasitic diseases (A00–B99)
A20-A28,Certain zoonotic bacterial diseases,Female,163,Certain infectious and parasitic diseases (A00–B99)
A30-A49,Other bacterial diseases,Female,121099,Certain infectious and parasitic diseases (A00–B99)
A50-A64,Infections with a predominantly sexual mode of transmission,Female,1416,Certain infectious and parasitic diseases (A00–B99)
A65-A69,Other spirochaetal diseases,Female,290,Certain infectious and parasitic diseases (A00–B99)
A70-A74,Other diseases caused by chlamydiae,Female,50,Certain infectious and parasitic diseases (A00–B99)
A75-A79,Rickettsioses,Female,27,Certain infectious and parasitic diseases (A00–B99)
A80-A89,Viral infections of the central nervous system,Female,3188,Certain infectious and parasitic diseases (A00–B99)
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,Female,271,Certain infectious and parasitic diseases (A00–B99)
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,Female,10229,Certain infectious and parasitic diseases (A00–B99)
B15-B19,Viral hepatitis,Female,2009,Certain infectious and parasitic diseases (A00–B99)
B20-B24,Human immunodeficiency virus [HIV] disease,Female,951,Certain infectious and parasitic diseases (A00–B99)
B25-B34,Other viral diseases,Female,42668,Certain infectious and parasitic diseases (A00–B99)
B35-B49,Mycoses,Female,5838,Certain infectious and parasitic diseases (A00–B99)
B50-B64,Protozoal diseases,Female,1735,Certain infectious and parasitic diseases (A00–B99)
B65-B83,Helminthiases,Female,376,Certain infectious and parasitic diseases (A00–B99)
B85-B89,"Pediculosis, acariasis and other infestations",Female,306,Certain infectious and parasitic diseases (A00–B99)
B95-B98,"Bacterial, viral and other infectious agents",Female,19,Certain infectious and parasitic diseases (A00–B99)
